id	language	idiom	type	genlang_point	map	value1	value1_name	feature	source	page	comment	contributor	date	check_me	language_new	idiom_new	type_new
75	Tabasaran	Khiv	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	magometov1965	159--163		George Moroz	2023-09-08				
76	Tsakhur	Mishlesh	village	yes	yes	decimal	Base of numeral system	Base of numeral system	ibragimov1990	94--95		George Moroz	2023-09-08				
77	Tsakhur	Gel'mets	dialect_nt1	no	yes	decimal	Base of numeral system	Base of numeral system	ibragimov2011	15--16		Maksim Melenchenko	2023-09-08				
78	Lezgian	Standard Lezgian	language	yes	yes	vigesimal	Base of numeral system	Base of numeral system	haspelmath1993	230--232		George Moroz	2023-09-08				
79	Lezgian	Ashar	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	murtazaeva2005	16		Maksim Melenchenko	2023-09-08				
80	Lezgian	Gelkhen	dialect_nt1	no	yes	vigesimal	Base of numeral system	Base of numeral system	pirmagomedova2013	17		Maksim Melenchenko	2023-09-08				
81	Lezgian	Khlyut	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	sultalieva2011	15		Maksim Melenchenko	2023-09-08				
82	Lezgian	Maza	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	muradalieva2009	15		Maksim Melenchenko	2023-09-08				
83	Lezgian	Kurush	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	abdurakhmanova2014	18		Maksim Melenchenko	2023-09-08				
84	Lezgian	Zakhit	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	karabekov2013	18		Maksim Melenchenko	2023-09-08				
85	Lezgian	Karakyure	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	asadova2013	14		Maksim Melenchenko	2023-09-08				
86	Lezgian	Shimikhyur	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	shabanova2006	17		Maksim Melenchenko	2023-09-08				
87	Lezgian	Gogaz	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	aliverdieva2006	14		Maksim Melenchenko	2023-09-08				
88	Lezgian	Kimil Quba	village	no	yes	mixed	Base of numeral system	Base of numeral system	asaliev2003	17	Some tens are apparently borrowed from Azerbaijani (cf. elli '50')	Maksim Melenchenko	2023-09-08				
89	Budukh	Budukh	language	yes	yes	vigesimal	Base of numeral system	Base of numeral system	talibov2007	145--150		George Moroz	2023-09-08				
90	Kryz	Alik	dialect_toplevel	yes	yes	vigesimal	Base of numeral system	Base of numeral system	authier2009	103--104		George Moroz	2023-09-08				
91	Udi	Vartashen	dialect_toplevel	yes	yes	vigesimal	Base of numeral system	Base of numeral system	gukasyan1974	281--283		George Moroz	2023-09-08				
92	Udi	Nizh	dialect_toplevel	no	yes	decimal	Base of numeral system	Base of numeral system	gukasyan1974	281--283		George Moroz	2023-09-08				
93	Khinalug	Khinalug	language	yes	yes	vigesimal	Base of numeral system	Base of numeral system	desheriev1959	131--133		George Moroz	2023-09-08				
94	Chechen	Standard Chechen	language	yes	yes	vigesimal	Base of numeral system	Base of numeral system	nichols1994	51--52		George Moroz	2023-09-08				
95	Chechen	Sharoy	dialect_toplevel	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	84--85		Maksim Melenchenko	2023-09-08				
96	Chechen	Itum-Kali	dialect_toplevel	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	93		Maksim Melenchenko	2023-09-08				
97	Chechen	Galanchozh	dialect_toplevel	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	107--108, 119, 135--136		Maksim Melenchenko	2023-09-08				
98	Chechen	Melkhi	dialect_toplevel	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	146--147		Maksim Melenchenko	2023-09-08				
99	Chechen	Upper Cheberloy	dialect_nt1	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	62		Maksim Melenchenko	2023-09-08				
100	Chechen	Day	dialect_nt1	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	62		Maksim Melenchenko	2023-09-08				
101	Chechen	Akka (Chechnya)	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	33		Maksim Melenchenko	2023-09-08				
102	Chechen	Vedeno	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	150		Maksim Melenchenko	2023-09-08				
103	Chechen	Duisi	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	arsakhanov1969	161--162		Maksim Melenchenko	2023-09-08				
104	Ingush	Standard Ingush	language	yes	yes	vigesimal	Base of numeral system	Base of numeral system	nichols2011	114--115		George Moroz	2023-09-08				
105	Tsova-Tush	Zemo-Alvani	village	yes	yes	vigesimal	Base of numeral system	Base of numeral system	desheriev1953	189--197		George Moroz	2023-09-08				
106	Azerbaijani	Standard Azerbaijani	language	yes	yes	decimal	Base of numeral system	Base of numeral system	shiralievsevortyan1971	71--72		George Moroz	2023-09-08				
107	Kumyk	Standard Kumyk	language	yes	yes	decimal	Base of numeral system	Base of numeral system	dmitriev1940	72--73		George Moroz	2023-09-08				
108	Nogai	Standard Nogai	language	yes	yes	decimal	Base of numeral system	Base of numeral system	baskakov1940	72		George Moroz	2023-09-08				
109	Juhuri	Juhuri	language	yes	yes	decimal	Base of numeral system	Base of numeral system	authier2012	104	“Un article de Chernij (1869/1905) donne un système différent, vigésimal, avec bisdah ‘30’, dubisd ‘40’, sebisd ‘60’, sebisdah ‘70’, çorbisd ‘80’, et çorbisdah ‘90’ sans localiser le dialecte en question.”	George Moroz	2023-09-08				
110	Eastern Armenian	Eastern Armenian	language	yes	yes	decimal	Base of numeral system	Base of numeral system	dum-tragut2009	118--120		George Moroz	2023-09-08				
111	Georgian	Standard Georgian	language	yes	yes	vigesimal	Base of numeral system	Base of numeral system	hewitt2005	29--30		George Moroz	2023-09-08				
